Date,P_embark,P_disembark,P_dead_evac,C_embark,C_disembark,C_dead_evac,Notes
01/04/2026,114,0,0,61,0,0,"Departs Ushuaia, Argentina"
11/04/2026,0,0,1,0,0,0,Case 01 death
15/04/2026,6,0,0,0,1,0,"Tristan da Cunha, St Helena transfer, includes Case 08 disembarking"
24/04/2026,0,31,1,1,0,0,"St Helena transfer, includes Case 02 and Case 07 disembarking"
27/04/2026,0,0,1,0,0,0,"Two medical evacuations, includes Case 03"
02/05/2026,0,0,1,0,0,0,Case 04 death
06/05/2026,0,0,0,4,0,2,"Cape Verde transfer, includes +4 medical staff and Case 05 and Case 06 disemarking"
11/05/2026,0,85,0,0,38,0,"Granadilla, Tenerife transfer"
