P_trans,C_Case01,e_conf,case_01_contact_mode,population_contact_mode,model_variant,likelihood_exact,likelihood_minimum,acceptance_rate_exact,mean_onward_infections,source_dir,source_file
0.0110189457046384,87.58130878478796,0.9168736465929008,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,1.9174182889132832e-19,2.0213422713675302e-19,0.05908,15.37392,calibration_daily,00014_MV_daily_contacts_parameter_results.csv
0.0176828958958477,118.08598695135836,0.5961499740291972,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,1.3180049509229278e-21,1.4022604711331257e-21,0.00032,40.43012,calibration_daily,00014_MV_daily_contacts_parameter_results.csv
0.0168461977096978,92.86133567521826,0.0906850058342441,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,2.84100758790174e-21,3.4517103546860234e-21,0.00176,34.7986,calibration_daily,00015_MV_daily_contacts_parameter_results.csv
0.0502005173564826,68.95405606851813,0.9645613203626808,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,0.0,0.0,0.0,95.39004,calibration_daily,00015_MV_daily_contacts_parameter_results.csv
0.0064792985843575,44.98902149987251,0.8149823387426168,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,3.07220446610718e-20,3.208800404418328e-20,0.01236,4.2638,calibration_daily,00016_MV_daily_contacts_parameter_results.csv
0.0160134468916102,33.827028981065254,0.4496727591262787,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,5.3196872216107584e-20,5.809746173715672e-20,0.06164,12.80008,calibration_daily,00016_MV_daily_contacts_parameter_results.csv
0.0158604293757361,89.2884527700055,0.1173872569735346,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,1.1113965443655282e-20,1.181059682358507e-20,0.0052,31.11168,calibration_daily,00017_MV_daily_contacts_parameter_results.csv
0.0308458483139128,37.91931718449903,0.8662057684593059,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,4.18515293440654e-21,4.6522006675419305e-21,0.00352,34.67888,calibration_daily,00017_MV_daily_contacts_parameter_results.csv
0.0104371322304422,100.55308969556653,0.8464897051926072,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,1.8860009706858824e-19,1.994514264607326e-19,0.05244,16.51352,calibration_daily,00018_MV_daily_contacts_parameter_results.csv
0.0077216353208366,33.536687085542795,0.2201258724527444,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,1.9382019427050687e-20,2.0469900419443915e-20,0.0186,4.50584,calibration_daily,00018_MV_daily_contacts_parameter_results.csv
0.0261659960595689,1.4260286002470537,0.694539004930832,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,1.6339168960571055e-25,3.38760585737922e-25,0.00768,3.19336,calibration_daily,00019_MV_daily_contacts_parameter_results.csv
0.0206431231879533,53.659152508139904,0.6030627927322394,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,2.007092459408957e-20,2.241944473370664e-20,0.01144,26.49368,calibration_daily,00019_MV_daily_contacts_parameter_results.csv
0.0078124106095843,39.73488153169156,0.3522010965961367,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,4.025255808214233e-20,4.2238771902875083e-20,0.0258,5.22972,calibration_daily,00020_MV_daily_contacts_parameter_results.csv
0.0165678414277645,42.36441939517145,0.2511078637573822,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,4.5548956052994624e-20,5.096996570532689e-20,0.04696,16.83452,calibration_daily,00020_MV_daily_contacts_parameter_results.csv
0.0206849077608393,23.892045602137525,0.4252065595577923,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,2.4248350219551556e-20,2.7072673490209755e-20,0.05332,14.42584,calibration_daily,00021_MV_daily_contacts_parameter_results.csv
0.0043373590570768,23.425897123474865,0.6386998222155663,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,2.128054247171012e-22,2.215174318670908e-22,8e-05,1.5176,calibration_daily,00021_MV_daily_contacts_parameter_results.csv
0.004012812305521,35.81666851671139,0.7094472919037932,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,9.814957101925409e-22,9.820975740772858e-22,0.00048,1.95188,calibration_daily,00022_MV_daily_contacts_parameter_results.csv
0.0076895049884489,105.91037248762692,0.1855996716040652,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,1.8820759088266762e-19,2.0115798837348865e-19,0.07496,12.35692,calibration_daily,00022_MV_daily_contacts_parameter_results.csv
0.0068775807421377,80.66357392432059,0.7925872592986307,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,2.070579874166803e-19,2.1441325239336352e-19,0.06092,7.68736,calibration_daily,00023_MV_daily_contacts_parameter_results.csv
0.0115994871194169,47.402234063126095,0.9231835035785028,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,1.808373271674127e-19,1.900169306274259e-19,0.07244,9.43372,calibration_daily,00023_MV_daily_contacts_parameter_results.csv
0.0039562152403047,9.06546845317807,0.7519497275177546,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,0.0,0.0,0.0,0.74788,calibration_daily,00024_MV_daily_contacts_parameter_results.csv
0.0048075726958738,10.406024542330714,0.8747075667789861,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,0.0,0.0,0.0,0.98516,calibration_daily,00024_MV_daily_contacts_parameter_results.csv
0.0067427940144475,19.48239912712584,0.2605704624299264,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,1.3895310981512049e-21,1.454780415325742e-21,0.00212,2.39992,calibration_daily,00025_MV_daily_contacts_parameter_results.csv
0.0142470890990364,95.1606742428591,0.1238033340480979,variable,daily_lognormal,daily_lognormal_contacts_case01_fixed_rate,1.967488346054787e-20,2.174986442879245e-20,0.00852,27.18296,calibration_daily,00025_MV_daily_contacts_parameter_results.csv
