P_trans,C_Case01,e_conf,case_01_contact_mode,population_contact_mode,contact_meanlog,contact_median,likelihood_exact,likelihood_minimum,acceptance_rate_exact,mean_onward_infections,source_dir,source_file
0.0139992565575883,2.957113697884441,0.8287230269050561,variable,lognormal,2.890372,18.000004357869567,8.285012692900344e-22,8.49827211781244e-22,0.01456,4.60788,calibration_sensitivity_18,00001_MV_parameter_results_meanlog_2.890372.csv
0.0483764836555936,32.56485918309296,0.1707293188247289,variable,lognormal,2.890372,18.000004357869567,0.0,0.0,0.0,133.8084,calibration_sensitivity_18,00001_MV_parameter_results_meanlog_2.890372.csv
0.0178978212913269,48.16807955529666,0.976686098674255,variable,lognormal,2.890372,18.000004357869567,9.804179516493224e-21,1.0301184556574396e-20,0.00388,42.70064,calibration_sensitivity_18,00002_MV_parameter_results_meanlog_2.890372.csv
0.0248588534989873,108.35025055804064,0.7653539540440586,variable,lognormal,2.890372,18.000004357869567,0.0,0.0,0.0,112.05976,calibration_sensitivity_18,00002_MV_parameter_results_meanlog_2.890372.csv
0.0022153532348746,89.9440813274145,0.0691258699373495,variable,lognormal,2.890372,18.000004357869567,3.4598726861678924e-20,3.592955832133982e-20,0.02168,4.87136,calibration_sensitivity_18,00003_MV_parameter_results_meanlog_2.890372.csv
0.0195776575773181,10.1433750102029,0.7237673816229362,variable,lognormal,2.890372,18.000004357869567,1.715607364310765e-21,1.7862143377367176e-21,0.02928,19.11016,calibration_sensitivity_18,00003_MV_parameter_results_meanlog_2.890372.csv
0.0083206109508704,100.1112667215446,0.1626394072604596,variable,lognormal,2.890372,18.000004357869567,6.030290317065597e-21,6.58901196017053e-21,0.00248,38.40264,calibration_sensitivity_18,00004_MV_parameter_results_meanlog_2.890372.csv
0.0194301425981861,102.3650342415023,0.5364513584205727,variable,lognormal,2.890372,18.000004357869567,0.0,0.0,0.0,95.0568,calibration_sensitivity_18,00004_MV_parameter_results_meanlog_2.890372.csv
0.03018543338025,111.34282417822736,0.0321010603941166,variable,lognormal,2.890372,18.000004357869567,0.0,0.0,0.0,141.76816,calibration_sensitivity_18,00005_MV_parameter_results_meanlog_2.890372.csv
0.0201604798368045,22.03933514179063,0.6600140853490069,variable,lognormal,2.890372,18.000004357869567,9.738785337191937e-22,1.249353823973744e-21,0.01236,36.2604,calibration_sensitivity_18,00005_MV_parameter_results_meanlog_2.890372.csv
0.0031727842285662,113.94147215878064,0.4516877890358394,variable,lognormal,2.890372,18.000004357869567,1.972037113350625e-19,2.0701523520722309e-19,0.07284,10.41004,calibration_sensitivity_18,00006_MV_parameter_results_meanlog_2.890372.csv
0.0025550568364139,90.43115121379392,0.6937763512221277,variable,lognormal,2.890372,18.000004357869567,6.88256536273723e-20,7.134153968932375e-20,0.02808,5.42844,calibration_sensitivity_18,00006_MV_parameter_results_meanlog_2.890372.csv
0.0021664727790729,102.8245385732459,0.029515452722506,variable,lognormal,2.890372,18.000004357869567,5.487645822015561e-20,5.759930569784322e-20,0.03148,5.68968,calibration_sensitivity_18,00007_MV_parameter_results_meanlog_2.890372.csv
0.0072253793901391,74.42512270908192,0.2297674305147599,variable,lognormal,2.890372,18.000004357869567,3.054585714834339e-20,3.375552543191534e-20,0.02488,22.58748,calibration_sensitivity_18,00007_MV_parameter_results_meanlog_2.890372.csv
